-0.52|-3.24|3.66|-1.96|-0.08|1.1|0.819999|
-0.52|-3.24|3.66|-0.420001|-0.08|1.1|0.819999|
0.0200001|-3.24|3.66|-0.420001|-0.08|1.1|0.819999|
0.0200001|-3.24|3.66|-0.420001|-0.08|6.54|0.819999|
0.0200001|-3.24|6.9|-0.420001|0.78|6.54|5.95999|
0.0200001|-3.24|6.9|-0.420001|0.78|6.54|5.16|
0.0200001|-3.24|6.9|-0.420001|-0.16|6.54|4.52|
0.0200001|-3.24|6.58|-0.420001|-1.32|6.36|4.12|
0.0200001|-2.92|6.58|0.319999|-1.32|6.36|4.12|
0.0200001|-2.92|6.94|0.319999|-1.32|6.36|4.12|
0.0200001|-2.92|7.22|0.599999|-1.32|6.36|4.12|
0.0200001|-2.92|7.49999|1.08|-1.1|6.36|4.12|
0.0200001|-2.9|7.53999|1.08|-0.74|6.36|4.12|
